instrumento,nota,volumen,dura,empieza,termina
-1.0,-1.0,0.0,5.45455,0.0,5.45455
-1.0,-1.0,0.0,5.45455,0.0,5.45455
-1.0,-1.0,0.0,5.45455,0.0,5.45455
-1.0,-1.0,0.0,5.45455,0.0,5.45455
-1.0,-1.0,0.0,5.45455,0.0,5.45455
-1.0,-1.0,0.0,5.45455,0.0,5.45455
-1.0,-1.0,0.0,5.45455,0.0,5.45455
-1.0,-1.0,0.0,5.45455,0.0,5.45455
-1.0,-1.0,0.0,5.45455,0.0,5.45455
-1.0,-1.0,0.0,5.45455,0.0,5.45455
-1.0,-1.0,0.0,5.45455,0.0,5.45455
-1.0,-1.0,0.0,5.45455,0.0,5.45455
-1.0,-1.0,0.0,5.45455,0.0,5.45455
-1.0,-1.0,0.0,5.45455,0.0,5.45455
-1.0,-1.0,0.0,5.45455,0.0,5.45455
-1.0,-1.0,0.0,5.45455,0.0,5.45455
-1.0,-1.0,0.0,5.45455,0.0,5.45455
-1.0,-1.0,0.0,5.45455,0.0,5.45455
-1.0,-1.0,0.0,5.45455,0.0,5.45455
-1.0,-1.0,0.0,5.45455,0.0,5.45455
-1.0,-1.0,0.0,5.45455,0.0,5.45455
-1.0,-1.0,0.0,5.45455,0.0,5.45455
-1.0,-1.0,0.0,5.45455,0.0,5.45455
-1.0,-1.0,0.0,5.45455,0.0,5.45455
-1.0,-1.0,0.0,5.45455,0.0,5.45455
-1.0,-1.0,0.0,5.45455,0.0,5.45455
-1.0,-1.0,0.0,5.45455,0.0,5.45455
-1.0,-1.0,0.0,5.45455,0.0,5.45455
-1.0,-1.0,0.0,5.45455,0.0,5.45455
-1.0,-1.0,0.0,5.45455,0.0,5.45455
-1.0,-1.0,0.0,5.45455,0.0,5.45455
-1.0,-1.0,0.0,5.45455,0.0,5.45455
-1.0,-1.0,0.0,5.45455,0.0,5.45455
-1.0,-1.0,0.0,5.45455,0.0,5.45455
-1.0,-1.0,0.0,5.45455,0.0,5.45455
-1.0,-1.0,0.0,5.45455,0.0,5.45455
-1.0,-1.0,0.0,5.45455,0.0,5.45455
-1.0,-1.0,0.0,5.45455,0.0,5.45455
-1.0,-1.0,0.0,5.45455,0.0,5.45455
-1.0,-1.0,0.0,5.45455,0.0,5.45455
-1.0,-1.0,0.0,5.45455,0.0,5.45455
-1.0,-1.0,0.0,5.45455,0.0,5.45455
-1.0,-1.0,0.0,5.45455,0.0,5.45455
-1.0,-1.0,0.0,5.45455,0.0,5.45455
-1.0,-1.0,0.0,5.45455,0.0,5.45455
-1.0,-1.0,0.0,5.45455,0.0,5.45455
-1.0,-1.0,0.0,5.45455,0.0,5.45455
-1.0,-1.0,0.0,5.45455,0.0,5.45455
-1.0,-1.0,0.0,5.45455,0.0,5.45455
-1.0,-1.0,0.0,5.45455,0.0,5.45455
-1.0,-1.0,0.0,5.45455,0.0,5.45455
-1.0,-1.0,0.0,5.45455,0.0,5.45455
-1.0,-1.0,0.0,5.45455,0.0,5.45455
-1.0,-1.0,0.0,5.45455,0.0,5.45455
-1.0,-1.0,0.0,5.45455,0.0,5.45455
-1.0,-1.0,0.0,5.45455,0.0,5.45455
-1.0,-1.0,0.0,5.45455,0.0,5.45455
-1.0,-1.0,0.0,5.45455,0.0,5.45455
-1.0,-1.0,0.0,5.45455,0.0,5.45455
-1.0,-1.0,0.0,5.45455,0.0,5.45455
-1.0,-1.0,0.0,5.45455,0.0,5.45455
-1.0,-1.0,0.0,5.45455,0.0,5.45455
-1.0,-1.0,0.0,5.45455,0.0,5.45455
-1.0,-1.0,0.0,5.45455,0.0,5.45455
-1.0,-1.0,0.0,5.45455,0.0,5.45455
-1.0,-1.0,0.0,5.45455,0.0,5.45455
-1.0,-1.0,0.0,5.45455,0.0,5.45455
-1.0,-1.0,0.0,5.45455,0.0,5.45455
-1.0,-1.0,0.0,5.45455,0.0,5.45455
-1.0,-1.0,0.0,5.45455,0.0,5.45455
-1.0,-1.0,0.0,5.45455,0.0,5.45455
-1.0,-1.0,0.0,5.45455,0.0,5.45455
-1.0,-1.0,0.0,5.45455,0.0,5.45455
-1.0,-1.0,0.0,5.45455,0.0,5.45455
-1.0,-1.0,0.0,5.45455,0.0,5.45455
-1.0,-1.0,0.0,5.45455,0.0,5.45455
-1.0,-1.0,0.0,5.45455,0.0,5.45455
-1.0,-1.0,0.0,5.45455,0.0,5.45455
-1.0,-1.0,0.0,5.45455,0.0,5.45455
-1.0,-1.0,0.0,5.45455,0.0,5.45455
-1.0,-1.0,0.0,5.45455,0.0,5.45455
-1.0,-1.0,0.0,5.45455,0.0,5.45455
-1.0,-1.0,0.0,5.45455,0.0,5.45455
-1.0,-1.0,0.0,5.45455,0.0,5.45455
-1.0,-1.0,0.0,5.45455,0.0,5.45455
-1.0,-1.0,0.0,5.45455,0.0,5.45455
-1.0,-1.0,0.0,5.45455,0.0,5.45455
-1.0,-1.0,0.0,5.45455,0.0,5.45455
-1.0,-1.0,0.0,5.45455,0.0,5.45455
-1.0,-1.0,0.0,5.45455,0.0,5.45455
-1.0,-1.0,0.0,5.45455,0.0,5.45455
-1.0,-1.0,0.0,5.45455,0.0,5.45455
-1.0,-1.0,0.0,5.45455,0.0,5.45455
-1.0,-1.0,0.0,5.45455,0.0,5.45455
-1.0,-1.0,0.0,5.45455,0.0,5.45455
-1.0,-1.0,0.0,5.45455,0.0,5.45455
-1.0,-1.0,0.0,5.45455,0.0,5.45455
-1.0,-1.0,0.0,5.45455,0.0,5.45455
-1.0,-1.0,0.0,5.45455,0.0,5.45455
-1.0,-1.0,0.0,5.45455,0.0,5.45455
-1.0,-1.0,0.0,5.45455,0.0,5.45455
-1.0,-1.0,0.0,5.45455,0.0,5.45455
