instrumento,nota,volumen,dura,empieza,termina
-1.0,-1.0,0.0,2.874248,0.0,2.874248
-1.0,-1.0,0.0,2.874248,0.0,2.874248
-1.0,-1.0,0.0,2.874248,0.0,2.874248
-1.0,-1.0,0.0,2.874248,0.0,2.874248
-1.0,-1.0,0.0,2.874248,0.0,2.874248
-1.0,-1.0,0.0,2.874248,0.0,2.874248
-1.0,-1.0,0.0,2.874248,0.0,2.874248
-1.0,-1.0,0.0,2.874248,0.0,2.874248
-1.0,-1.0,0.0,2.874248,0.0,2.874248
-1.0,-1.0,0.0,2.874248,0.0,2.874248
-1.0,-1.0,0.0,2.874248,0.0,2.874248
-1.0,-1.0,0.0,2.874248,0.0,2.874248
-1.0,-1.0,0.0,2.874248,0.0,2.874248
-1.0,-1.0,0.0,2.874248,0.0,2.874248
-1.0,-1.0,0.0,2.874248,0.0,2.874248
-1.0,-1.0,0.0,2.874248,0.0,2.874248
-1.0,-1.0,0.0,2.874248,0.0,2.874248
-1.0,-1.0,0.0,2.874248,0.0,2.874248
-1.0,-1.0,0.0,2.874248,0.0,2.874248
-1.0,-1.0,0.0,2.874248,0.0,2.874248
-1.0,-1.0,0.0,2.874248,0.0,2.874248
-1.0,-1.0,0.0,2.874248,0.0,2.874248
-1.0,-1.0,0.0,2.874248,0.0,2.874248
-1.0,-1.0,0.0,2.874248,0.0,2.874248
-1.0,-1.0,0.0,2.874248,0.0,2.874248
-1.0,-1.0,0.0,2.874248,0.0,2.874248
-1.0,-1.0,0.0,2.874248,0.0,2.874248
-1.0,-1.0,0.0,2.874248,0.0,2.874248
-1.0,-1.0,0.0,2.874248,0.0,2.874248
-1.0,-1.0,0.0,2.874248,0.0,2.874248
-1.0,-1.0,0.0,2.874248,0.0,2.874248
-1.0,-1.0,0.0,2.874248,0.0,2.874248
-1.0,-1.0,0.0,2.874248,0.0,2.874248
-1.0,-1.0,0.0,2.874248,0.0,2.874248
-1.0,-1.0,0.0,2.874248,0.0,2.874248
-1.0,-1.0,0.0,2.874248,0.0,2.874248
-1.0,-1.0,0.0,2.874248,0.0,2.874248
-1.0,-1.0,0.0,2.874248,0.0,2.874248
-1.0,-1.0,0.0,2.874248,0.0,2.874248
-1.0,-1.0,0.0,2.874248,0.0,2.874248
-1.0,-1.0,0.0,2.874248,0.0,2.874248
-1.0,-1.0,0.0,2.874248,0.0,2.874248
-1.0,-1.0,0.0,2.874248,0.0,2.874248
-1.0,-1.0,0.0,2.874248,0.0,2.874248
-1.0,-1.0,0.0,2.874248,0.0,2.874248
-1.0,-1.0,0.0,2.874248,0.0,2.874248
-1.0,-1.0,0.0,2.874248,0.0,2.874248
-1.0,-1.0,0.0,2.874248,0.0,2.874248
-1.0,-1.0,0.0,2.874248,0.0,2.874248
-1.0,-1.0,0.0,2.874248,0.0,2.874248
-1.0,-1.0,0.0,2.874248,0.0,2.874248
-1.0,-1.0,0.0,2.874248,0.0,2.874248
-1.0,-1.0,0.0,2.874248,0.0,2.874248
-1.0,-1.0,0.0,2.874248,0.0,2.874248
-1.0,-1.0,0.0,2.874248,0.0,2.874248
-1.0,-1.0,0.0,2.874248,0.0,2.874248
-1.0,-1.0,0.0,2.874248,0.0,2.874248
-1.0,-1.0,0.0,2.874248,0.0,2.874248
-1.0,-1.0,0.0,2.874248,0.0,2.874248
-1.0,-1.0,0.0,2.874248,0.0,2.874248
-1.0,-1.0,0.0,2.874248,0.0,2.874248
-1.0,-1.0,0.0,2.874248,0.0,2.874248
-1.0,-1.0,0.0,2.874248,0.0,2.874248
-1.0,-1.0,0.0,2.874248,0.0,2.874248
-1.0,-1.0,0.0,2.874248,0.0,2.874248
-1.0,-1.0,0.0,2.874248,0.0,2.874248
-1.0,-1.0,0.0,2.874248,0.0,2.874248
-1.0,-1.0,0.0,2.874248,0.0,2.874248
-1.0,-1.0,0.0,2.874248,0.0,2.874248
-1.0,-1.0,0.0,2.874248,0.0,2.874248
-1.0,-1.0,0.0,2.874248,0.0,2.874248
-1.0,-1.0,0.0,2.874248,0.0,2.874248
-1.0,-1.0,0.0,2.874248,0.0,2.874248
-1.0,-1.0,0.0,2.874248,0.0,2.874248
-1.0,-1.0,0.0,2.874248,0.0,2.874248
-1.0,-1.0,0.0,2.874248,0.0,2.874248
-1.0,-1.0,0.0,2.874248,0.0,2.874248
-1.0,-1.0,0.0,2.874248,0.0,2.874248
-1.0,-1.0,0.0,2.874248,0.0,2.874248
-1.0,-1.0,0.0,2.874248,0.0,2.874248
-1.0,-1.0,0.0,2.874248,0.0,2.874248
-1.0,-1.0,0.0,2.874248,0.0,2.874248
-1.0,-1.0,0.0,2.874248,0.0,2.874248
-1.0,-1.0,0.0,2.874248,0.0,2.874248
-1.0,-1.0,0.0,2.874248,0.0,2.874248
-1.0,-1.0,0.0,2.874248,0.0,2.874248
-1.0,-1.0,0.0,2.874248,0.0,2.874248
-1.0,-1.0,0.0,2.874248,0.0,2.874248
-1.0,-1.0,0.0,2.874248,0.0,2.874248
